Student_Name,School_Name,Area_Type,Gender,Caste,Standard,Age,Year,District,Dropout_Status,Dropout_Reason,Parental_Education,Family_Income,Prev_Academic_Performance,Attendance_Record,Teacher_Student_Ratio,Distance_km
Ishaan Banerjee,Maharishi Public School,Urban,Female,OBC,9,14,2019,Belagavi,Enrolled,Not applicable,Primary,60000,67.74,100,33.1,2.47
Vihaan Shetty,Mount Litera Zee School,Rural,Male,General,3,8,2023,Tumakuru,Enrolled,Not applicable,Higher Secondary,25000,81.34,90.125,39.8,6.86
Arjun Pai,Maharishi Public School,Rural,Male,SC,7,12,2023,Bengaluru Rural,Enrolled,Not applicable,Secondary,15000,67.74,97.77,49.4,9.28
Harsh Chopra,Freedom International School,Semi-Urban,Female,OBC,3,8,2020,Belagavi,Enrolled,Not applicable,Primary,10000,73.23,100,38.5,2.22
Rohan Aggarwal,National Public School,Rural,Female,SC,1,6,2019,Bengaluru Urban,Enrolled,Child Labour,Post-Graduate,25000,52.757,74.43,36.6,9.34
Anvi Kulkarni,Freedom International School,Urban,Male,ST,1,6,2022,Dharwad,Enrolled,Not applicable,Post-Graduate,25000,67.74,90.125,36.2,0.71
Ayush Chatterjee,Mount Litera Zee School,Rural,Female,ST,7,12,2020,Dakshina Kannada,Enrolled,Not applicable,Secondary,50000,90.35,94.75,36.4,5.59
Aarav Nair,New Oxford School,Urban,Female,SC,5,10,2018,Dharwad,Dropout,Child Labour,Graduate,25000,51.26,79.65,39.1,0.66
Diya Aggarwal,PES Public School,Urban,Female,OBC,5,10,2024,Ballari,Enrolled,Not applicable,No Schooling,15000,83.07,90.125,34.9,2.64
Ayush Banerjee,Assisi Central School,Rural,Female,ST,4,9,2018,Bengaluru Rural,Enrolled,Lack of interest,Secondary,60000,52.757,79.65,29.9,6.29
Sara Singh,Assisi Central School,Rural,Male,ST,8,13,2021,Dakshina Kannada,Enrolled,Child Labour,Higher Secondary,15000,52.757,71.45,38.5,5.72
Kabir Roy,Sri Taralabalu Central School,Semi-Urban,Male,SC,10,15,2019,Shivamogga,Dropout,Family responsibilities,Higher Secondary,50000,52.757,79.65,32.3,2.77
Aditya Bhat,Mount Litera Zee School,Semi-Urban,Female,OBC,4,9,2018,Ballari,Dropout,Family responsibilities,Secondary,50000,52.757,79.65,38.1,2.61
Meera Rao,Sri Taralabalu Central School,Semi-Urban,Male,General,6,11,2020,Bengaluru Urban,Enrolled,Not applicable,Primary,10000,67.74,90.125,41,1.59
Ishaan Iyer,New Oxford School,Semi-Urban,Male,SC,1,6,2024,Tumakuru,Enrolled,Not applicable,No Schooling,10000,67.74,90.125,20.9,0.91
Anaya Patil,Mount Litera Zee School,Urban,Female,General,5,10,2024,Shivamogga,Enrolled,Lack of interest,No Schooling,15000,47.52,72.45,46,0.82
Riya Ghosh,Maharishi Public School,Semi-Urban,Male,ST,7,12,2022,Udupi,Dropout,Family Issues,Graduate,10000,52.757,79.65,22,1.13
Ishaan Patil,Assisi Central School,Rural,Female,OBC,3,8,2021,Udupi,Enrolled,Not applicable,No Schooling,15000,67.74,93.89,20.3,3.22
Aditya Kumar,Delhi Public School,Semi-Urban,Female,ST,7,12,2023,Bengaluru Urban,Enrolled,Not applicable,Primary,15000,67.74,90.125,44.8,0.65
Aryan Iyer,Delhi Public School,Rural,Female,OBC,9,14,2019,Belagavi,Enrolled,Not applicable,Primary,25000,67.74,90.125,26,5.47
Vihaan Desai,Maharishi Public School,Urban,Male,ST,4,9,2020,Dharwad,Enrolled,Not applicable,Higher Secondary,10000,67.74,93.56,35.6,1.51
Tanvi Chatterjee,Mount Litera Zee School,Semi-Urban,Female,OBC,10,15,2018,Tumakuru,Enrolled,Not applicable,Secondary,10000,67.74,95.11,32.2,0.48
Sara Roy,Freedom International School,Semi-Urban,Male,ST,8,13,2021,Bengaluru Rural,Dropout,Family responsibilities,No Schooling,25000,52.757,79.65,24,0.34
